iso3,year,activity,item,value,unit_mult
AUT,2018,C23,N11ON,2485.46,6
AUT,2018,C24,N112N,2273.671,6
AUT,2018,C24,N1131N,65.679,6
AUT,2018,C24,N1132N,84.536,6
AUT,2018,C24,N115N,0,6
AUT,2018,C24,N117N,1250.981,6
AUT,2018,C24,N11ON,5162.979,6
AUT,2018,C24_25,N112N,6189.863,6
AUT,2018,C24_25,N1131N,209.285,6
AUT,2018,C24_25,N1132N,323.019,6
AUT,2018,C24_25,N115N,0,6
AUT,2018,C24_25,N117N,2746.74,6
AUT,2018,C24_25,N11ON,8906.51,6
AUT,2018,C25,N112N,3916.192,6
AUT,2018,C25,N1131N,143.607,6
AUT,2018,C25,N1132N,238.482,6
AUT,2018,C25,N115N,0,6
AUT,2018,C25,N117N,1495.759,6
AUT,2018,C25,N11ON,3743.531,6
AUT,2018,C26,N112N,1515.239,6
AUT,2018,C26,N1131N,18.343,6
AUT,2018,C26,N1132N,248.266,6
AUT,2018,C26,N115N,0,6
AUT,2018,C26,N117N,3906.049,6
AUT,2018,C26,N11ON,1577.549,6
AUT,2018,C27,N112N,1486.866,6
AUT,2018,C27,N1131N,43.376,6
AUT,2018,C27,N1132N,188.542,6
AUT,2018,C27,N115N,0,6
AUT,2018,C27,N117N,5974.826,6
AUT,2018,C27,N11ON,2112.342,6
AUT,2018,C28,N112N,3135.265,6
AUT,2018,C28,N1131N,102.446,6
AUT,2018,C28,N1132N,220.646,6
AUT,2018,C28,N115N,0,6
AUT,2018,C28,N117N,6043.855,6
AUT,2018,C28,N11ON,2629.385,6
AUT,2018,C29,N112N,2184.101,6
AUT,2018,C29,N1131N,26.986,6
AUT,2018,C29,N1132N,119.693,6
AUT,2018,C29,N115N,0,6
AUT,2018,C29,N117N,4255.894,6
AUT,2018,C29,N11ON,3371.938,6
AUT,2018,C29_30,N112N,2467.022,6
AUT,2018,C29_30,N1131N,39.442,6
AUT,2018,C29_30,N1132N,137.911,6
AUT,2018,C29_30,N115N,0,6
AUT,2018,C29_30,N117N,5304.408,6
AUT,2018,C29_30,N11ON,3864.508,6
AUT,2018,C30,N112N,282.921,6
AUT,2018,C30,N1131N,12.457,6
AUT,2018,C30,N1132N,18.218,6
AUT,2018,C30,N115N,0,6
AUT,2018,C30,N117N,1048.514,6
AUT,2018,C30,N11ON,492.571,6
AUT,2018,C31T33,N112N,2482.254,6
AUT,2018,C31T33,N1131N,114.499,6
AUT,2018,C31T33,N1132N,148.978,6
AUT,2018,C31T33,N115N,0,6
AUT,2018,C31T33,N117N,1746.042,6
AUT,2018,C31T33,N11ON,1209.759,6
AUT,2018,C31_32,N112N,1863.93,6
AUT,2018,C31_32,N1131N,74.931,6
AUT,2018,C31_32,N1132N,100.574,6
AUT,2018,C31_32,N115N,0,6
AUT,2018,C31_32,N117N,1111.381,6
AUT,2018,C31_32,N11ON,969.208,6
AUT,2018,C33,N112N,618.324,6
AUT,2018,C33,N1131N,39.568,6
AUT,2018,C33,N1132N,48.403,6
AUT,2018,C33,N115N,0,6
AUT,2018,C33,N117N,634.661,6
AUT,2018,C33,N11ON,240.551,6
AUT,2018,D,N112N,16542.412,6
AUT,2018,D,N1131N,144.429,6
AUT,2018,D,N1132N,2522.946,6
