iso3,year,measure,share
GRC,2015,mortgage_burden,0.191105
GRC,2015,rent_burden,0.274081
GRC,2016,mortgage_burden,0.180872
GRC,2016,rent_burden,0.268344
GRC,2017,mortgage_burden,0.197742
GRC,2017,rent_burden,0.264123
GRC,2018,mortgage_burden,0.186263
GRC,2018,rent_burden,0.250000
GRC,2019,mortgage_burden,0.173897
GRC,2019,rent_burden,0.250348
GRC,2020,mortgage_burden,0.186525
GRC,2020,rent_burden,0.242915
GRC,2021,mortgage_burden,0.187926
GRC,2021,rent_burden,0.252404
GRC,2022,mortgage_burden,0.178725
GRC,2022,rent_burden,0.242326
GRC,2023,mortgage_burden,0.192721
GRC,2023,rent_burden,0.254902
GRC,2024,mortgage_burden,0.200196
GRC,2024,rent_burden,0.242775
HRV,2016,mortgage_burden,0.250084
HRV,2016,rent_burden,0.119992
HRV,2017,mortgage_burden,0.214479
HRV,2017,rent_burden,0.114759
HRV,2018,mortgage_burden,0.207718
HRV,2018,rent_burden,0.110015
HRV,2019,mortgage_burden,0.208466
HRV,2019,rent_burden,0.136839
HRV,2020,mortgage_burden,0.184121
HRV,2020,rent_burden,0.116511
HRV,2021,mortgage_burden,0.193540
HRV,2021,rent_burden,0.122403
HRV,2022,mortgage_burden,0.177514
HRV,2022,rent_burden,0.140802
HRV,2023,mortgage_burden,0.144888
HRV,2023,rent_burden,0.159718
HRV,2024,mortgage_burden,0.131507
HRV,2024,rent_burden,0.143514
HUN,2010,mortgage_burden,0.156992
HUN,2010,rent_burden,0.140238
HUN,2011,mortgage_burden,0.171509
HUN,2011,rent_burden,0.154088
HUN,2012,mortgage_burden,0.187948
HUN,2012,rent_burden,0.155805
HUN,2013,mortgage_burden,0.200216
HUN,2013,rent_burden,0.152684
HUN,2014,mortgage_burden,0.197747
HUN,2014,rent_burden,0.156828
HUN,2015,mortgage_burden,0.178508
HUN,2015,rent_burden,0.154881
HUN,2016,mortgage_burden,0.161534
HUN,2016,rent_burden,0.208516
HUN,2017,mortgage_burden,0.156802
HUN,2017,rent_burden,0.214480
HUN,2018,mortgage_burden,0.145179
HUN,2018,rent_burden,0.240897
IRL,2010,rent_burden,0.143589
IRL,2011,rent_burden,0.153021
IRL,2012,mortgage_burden,0.209508
IRL,2012,rent_burden,0.162349
IRL,2013,mortgage_burden,0.212788
IRL,2013,rent_burden,0.166050
IRL,2014,mortgage_burden,0.215929
IRL,2014,rent_burden,0.163385
IRL,2015,mortgage_burden,0.210717
IRL,2015,rent_burden,0.161848
IRL,2016,mortgage_burden,0.193829
IRL,2016,rent_burden,0.157947
IRL,2017,mortgage_burden,0.175308
IRL,2017,rent_burden,0.165069
IRL,2018,mortgage_burden,0.166432
IRL,2018,rent_burden,0.160978
IRL,2019,mortgage_burden,0.169583
IRL,2019,rent_burden,0.159657
IRL,2020,mortgage_burden,0.154353
IRL,2020,rent_burden,0.192020
IRL,2021,mortgage_burden,0.145123
IRL,2021,rent_burden,0.186069
IRL,2022,mortgage_burden,0.140656
IRL,2022,rent_burden,0.200680
IRL,2023,mortgage_burden,0.139238
IRL,2023,rent_burden,0.208510
IRL,2024,mortgage_burden,0.117053
IRL,2024,rent_burden,0.187860
ISL,2010,rent_burden,0.244774
ISL,2011,rent_burden,0.263079
ISL,2012,rent_burden,0.270999
ISL,2013,rent_burden,0.265318
ISL,2014,rent_burden,0.277626
ISL,2015,rent_burden,0.297851
ISL,2016,rent_burden,0.290457
ISL,2018,rent_burden,0.276161
ITA,2010,mortgage_burden,0.197101
ITA,2010,rent_burden,0.191288
ITA,2011,mortgage_burden,0.188874
ITA,2011,rent_burden,0.200669
ITA,2012,mortgage_burden,0.203588
ITA,2012,rent_burden,0.204946
ITA,2013,mortgage_burden,0.203936
ITA,2013,rent_burden,0.214286
ITA,2014,mortgage_burden,0.196770
ITA,2014,rent_burden,0.209473
ITA,2015,mortgage_burden,0.188063
ITA,2015,rent_burden,0.217110
ITA,2016,mortgage_burden,0.183590
ITA,2016,rent_burden,0.222169
ITA,2017,mortgage_burden,0.174614
ITA,2017,rent_burden,0.215426
ITA,2018,mortgage_burden,0.169059
ITA,2018,rent_burden,0.214669
ITA,2019,mortgage_burden,0.154582
ITA,2019,rent_burden,0.216867
ITA,2020,mortgage_burden,0.149380
ITA,2020,rent_burden,0.213359
ITA,2021,mortgage_burden,0.154368
ITA,2021,rent_burden,0.210773
ITA,2022,mortgage_burden,0.143123
ITA,2022,rent_burden,0.209114
ITA,2023,mortgage_burden,0.144863
ITA,2023,rent_burden,0.190402
ITA,2024,mortgage_burden,0.147361
ITA,2024,rent_burden,0.183683
JPN,2010,mortgage_burden,0.208333
JPN,2010,rent_burden,0.209231
JPN,2012,mortgage_burden,0.200000
JPN,2012,rent_burden,0.201081
JPN,2014,mortgage_burden,0.200000
JPN,2014,rent_burden,0.186667
JPN,2016,mortgage_burden,0.196078
JPN,2016,rent_burden,0.185091
JPN,2018,mortgage_burden,0.185714
JPN,2018,rent_burden,0.198857
JPN,2019,mortgage_burden,0.184615
JPN,2019,rent_burden,0.198333
JPN,2020,mortgage_burden,0.176376
JPN,2020,rent_burden,0.203205
JPN,2021,mortgage_burden,0.168856
JPN,2021,rent_burden,0.192857
JPN,2022,mortgage_burden,0.177124
JPN,2022,rent_burden,0.196000
JPN,2023,mortgage_burden,0.166667
JPN,2023,rent_burden,0.199336
KOR,2012,mortgage_burden,0.100000
LTU,2010,mortgage_burden,0.216299
LTU,2011,mortgage_burden,0.224052
LTU,2012,mortgage_burden,0.190094
LTU,2013,mortgage_burden,0.205516
LTU,2014,mortgage_burden,0.056144
LTU,2015,mortgage_burden,0.140251
LTU,2016,mortgage_burden,0.126394
LTU,2017,mortgage_burden,0.120175
LTU,2017,rent_burden,0.113993
LTU,2018,mortgage_burden,0.124004
LTU,2018,rent_burden,0.108661
LTU,2019,mortgage_burden,0.124003
LTU,2019,rent_burden,0.096596
LTU,2020,mortgage_burden,0.101823
LTU,2021,mortgage_burden,0.106150
LTU,2021,rent_burden,0.083927
LTU,2022,mortgage_burden,0.096198
LTU,2022,rent_burden,0.091128
LTU,2023,mortgage_burden,0.114109
LTU,2023,rent_burden,0.126773
LTU,2024,mortgage_burden,0.119472
LTU,2024,rent_burden,0.158124
LUX,2010,mortgage_burden,0.226777
LUX,2010,rent_burden,0.211542
LUX,2011,mortgage_burden,0.242556
LUX,2011,rent_burden,0.219213
LUX,2012,mortgage_burden,0.263786
LUX,2012,rent_burden,0.233504
LUX,2013,mortgage_burden,0.261155
LUX,2013,rent_burden,0.245776
LUX,2014,mortgage_burden,0.271070
LUX,2014,rent_burden,0.261210
LUX,2015,mortgage_burden,0.272187
LUX,2015,rent_burden,0.264269
LUX,2016,mortgage_burden,0.284471
LUX,2016,rent_burden,0.257606
LUX,2017,mortgage_burden,0.266720
LUX,2017,rent_burden,0.273414
LUX,2018,mortgage_burden,0.240905
LUX,2018,rent_burden,0.248401
LUX,2019,rent_burden,0.276619
LUX,2020,mortgage_burden,0.416259
LUX,2020,rent_burden,0.278634
LUX,2021,mortgage_burden,0.274595
LUX,2021,rent_burden,0.260746
LUX,2022,mortgage_burden,0.336906
LUX,2022,rent_burden,0.229458
LUX,2023,mortgage_burden,0.347242
LUX,2023,rent_burden,0.253214
LUX,2024,mortgage_burden,0.318425
LUX,2024,rent_burden,0.255276
LVA,2010,mortgage_burden,0.205137
LVA,2010,rent_burden,0.068433
LVA,2011,mortgage_burden,0.231761
LVA,2011,rent_burden,0.069996
LVA,2012,mortgage_burden,0.210131
LVA,2012,rent_burden,0.070048
LVA,2013,mortgage_burden,0.191490
LVA,2013,rent_burden,0.067990
LVA,2014,mortgage_burden,0.163123
LVA,2014,rent_burden,0.063448
LVA,2015,mortgage_burden,0.144199
LVA,2015,rent_burden,0.073597
LVA,2016,mortgage_burden,0.145295
LVA,2016,rent_burden,0.063075
LVA,2017,mortgage_burden,0.121350
