industry,asset,year,value
2120,SU40,2024,1434.0
2120,SU50,2023,631.0
2120,SU50,2024,607.0
2120,SU60,2023,0.0
2120,SU60,2024,0.0
2130,AE10,2023,0.0
2130,AE10,2024,0.0
2130,AE20,2023,0.0
2130,AE20,2024,0.0
2130,AE30,2023,0.0
2130,AE30,2024,0.0
2130,AE40,2023,0.0
2130,AE40,2024,0.0
2130,AE50,2023,0.0
2130,AE50,2024,0.0
2130,EI11,2023,0.0
2130,EI11,2024,0.0
2130,EI12,2023,733.0
2130,EI12,2024,710.0
2130,EI21,2023,0.0
2130,EI21,2024,0.0
2130,EI22,2023,384.0
2130,EI22,2024,397.0
2130,EI30,2023,121.0
2130,EI30,2024,114.0
2130,EI40,2023,0.0
2130,EI40,2024,0.0
2130,EI50,2023,2983.0
2130,EI50,2024,2805.0
2130,EI60,2023,6442.0
2130,EI60,2024,6766.0
2130,ENS1,2023,329.0
2130,ENS1,2024,384.0
2130,ENS2,2023,500.0
2130,ENS2,2024,541.0
2130,ENS3,2023,90.0
2130,ENS3,2024,96.0
2130,EO11,2023,0.0
2130,EO11,2024,0.0
2130,EO12,2023,527.0
2130,EO12,2024,498.0
2130,EO21,2023,1.0
2130,EO21,2024,0.0
2130,EO22,2023,204.0
2130,EO22,2024,199.0
2130,EO30,2023,0.0
2130,EO30,2024,0.0
2130,EO40,2023,2683.0
2130,EO40,2024,2646.0
2130,EO50,2023,38481.0
2130,EO50,2024,37908.0
2130,EO60,2023,1762.0
2130,EO60,2024,1828.0
2130,EO71,2023,0.0
2130,EO71,2024,0.0
2130,EO72,2023,3.0
2130,EO72,2024,3.0
2130,EO80,2023,2245.0
2130,EO80,2024,2287.0
2130,EP12,2023,5.0
2130,EP12,2024,5.0
2130,EP1A,2023,11.0
2130,EP1A,2024,14.0
2130,EP1B,2023,79.0
2130,EP1B,2024,82.0
2130,EP1C,2023,0.0
2130,EP1C,2024,0.0
2130,EP1D,2023,8.0
2130,EP1D,2024,8.0
2130,EP1E,2023,15.0
2130,EP1E,2024,15.0
2130,EP1F,2023,0.0
2130,EP1F,2024,0.0
2130,EP1G,2023,5.0
2130,EP1G,2024,5.0
2130,EP1H,2023,108.0
2130,EP1H,2024,112.0
2130,EP20,2023,403.0
2130,EP20,2024,391.0
2130,EP31,2023,57.0
2130,EP31,2024,56.0
2130,EP34,2023,0.0
2130,EP34,2024,0.0
2130,EP35,2023,11.0
2130,EP35,2024,9.0
2130,EP36,2023,324.0
2130,EP36,2024,306.0
2130,EQ00,2023,82794.0
2130,EQ00,2024,82265.0
2130,ET11,2023,2343.0
2130,ET11,2024,2438.0
2130,ET12,2023,3482.0
2130,ET12,2024,3333.0
2130,ET20,2023,191.0
2130,ET20,2024,183.0
2130,ET30,2023,62.0
2130,ET30,2024,57.0
2130,ET40,2023,19122.0
2130,ET40,2024,19090.0
2130,ET50,2023,0.0
2130,ET50,2024,0.0
2130,IP00,2023,4178.0
2130,IP00,2024,4657.0
2130,RD11,2023,0.0
2130,RD11,2024,0.0
2130,RD12,2023,0.0
2130,RD12,2024,0.0
2130,RD21,2023,0.0
2130,RD21,2024,0.0
2130,RD22,2023,0.0
2130,RD22,2024,0.0
2130,RD23,2023,0.0
2130,RD23,2024,0.0
2130,RD24,2023,0.0
2130,RD24,2024,0.0
2130,RD25,2023,0.0
2130,RD25,2024,0.0
2130,RD31,2023,0.0
2130,RD31,2024,0.0
2130,RD32,2023,0.0
2130,RD32,2024,0.0
2130,RD40,2023,0.0
2130,RD40,2024,0.0
2130,RD50,2023,0.0
2130,RD50,2024,0.0
2130,RD60,2023,0.0
2130,RD60,2024,0.0
2130,RD70,2023,0.0
2130,RD70,2024,0.0
2130,RD80,2023,3259.0
2130,RD80,2024,3637.0
2130,RD91,2023,0.0
2130,RD91,2024,0.0
2130,RD92,2023,0.0
2130,RD92,2024,0.0
2130,RDOM,2023,0.0
2130,RDOM,2024,0.0
2130,SB10,2023,0.0
2130,SB10,2024,0.0
2130,SB20,2023,0.0
2130,SB20,2024,0.0
2130,SB31,2023,0.0
2130,SB31,2024,0.0
2130,SB32,2023,0.0
2130,SB32,2024,0.0
2130,SB41,2023,0.0
2130,SB41,2024,0.0
2130,SB42,2023,0.0
2130,SB42,2024,0.0
2130,SB43,2023,204.0
2130,SB43,2024,223.0
2130,SB44,2023,0.0
2130,SB44,2024,0.0
2130,SB45,2023,85.0
2130,SB45,2024,85.0
2130,SB46,2023,32.0
2130,SB46,2024,32.0
2130,SC01,2023,1088.0
2130,SC01,2024,1111.0
2130,SC02,2023,1542.0
2130,SC02,2024,1574.0
2130,SC03,2023,0.0
2130,SC03,2024,0.0
2130,SC04,2023,36.0
2130,SC04,2024,43.0
2130,SI00,2023,36238.0
2130,SI00,2024,42712.0
2130,SM01,2023,35925.0
2130,SM01,2024,37332.0
2130,SM02,2023,1113.0
2130,SM02,2024,1212.0
2130,SN00,2023,0.0
2130,SN00,2024,0.0
2130,SO01,2023,125.0
2130,SO01,2024,123.0
2130,SO02,2023,157.0
2130,SO02,2024,155.0
2130,SO03,2023,0.0
2130,SO03,2024,0.0
2130,SO04,2023,420.0
2130,SO04,2024,479.0
2130,SOMO,2023,236.0
2130,SOMO,2024,227.0
2130,SOO1,2023,17997.0
