industry,asset,year,value
2130,SB42,2024,0.0
2130,SB43,2023,5.0
2130,SB43,2024,5.0
2130,SB44,2023,0.0
2130,SB44,2024,0.0
2130,SB45,2023,2.0
2130,SB45,2024,2.0
2130,SB46,2023,1.0
2130,SB46,2024,1.0
2130,SC01,2023,24.0
2130,SC01,2024,25.0
2130,SC02,2023,41.0
2130,SC02,2024,42.0
2130,SC03,2023,0.0
2130,SC03,2024,0.0
2130,SC04,2023,1.0
2130,SC04,2024,1.0
2130,SI00,2023,1074.0
2130,SI00,2024,1265.0
2130,SM01,2023,2637.0
2130,SM01,2024,2757.0
2130,SM02,2023,49.0
2130,SM02,2024,54.0
2130,SN00,2023,0.0
2130,SN00,2024,0.0
2130,SO01,2023,3.0
2130,SO01,2024,3.0
2130,SO02,2023,4.0
2130,SO02,2024,4.0
2130,SO03,2023,0.0
2130,SO03,2024,0.0
2130,SO04,2023,9.0
2130,SO04,2024,10.0
2130,SOMO,2023,14.0
2130,SOMO,2024,13.0
2130,SOO1,2023,457.0
2130,SOO1,2024,488.0
2130,SOO2,2023,0.0
2130,SOO2,2024,0.0
2130,ST00,2023,4490.0
2130,ST00,2024,4840.0
2130,SU11,2023,0.0
2130,SU11,2024,0.0
2130,SU12,2023,0.0
