iso3,year,source,catalog,mean_size,size_1,size_2_3,size_4_5,size_6_plus,one_person,couple_only,couple_children,single_parent,extended,non_relatives,unknown,multi_generation,three_generation
BLZ,2022,DYB,7265,3.59,14.74,38.13,32.21,14.92,15.30,10.90,26.35,6.23,,,41.23,,
BMU,2000,DYB,2293,2.47,29.26,47.83,20.36,2.56,27.87,19.72,25.42,10.68,,,16.32,,
BMU,2010,DYB,4737,2.39,28.87,,,,28.87,20.42,21.53,12.27,,,16.91,,
BMU,2016,DYB,7266,2.26,34.09,48.39,15.81,1.70,34.09,16.78,18.63,10.40,,,20.10,,
BOL,1976,IPUMS,1261,4.35,11.70,29.34,29.43,29.53,11.70,5.90,36.22,12.34,24.58,9.27,0.00,21.95,11.31
BOL,1992,IPUMS,944,4.35,11.65,28.40,30.82,29.14,11.65,5.54,37.94,15.22,18.85,10.36,0.43,,
BOL,1994,DHS,1769,4.52,8.23,27.06,34.31,30.39,8.23,6.30,46.93,10.37,22.93,5.18,0.06,24.97,12.79
BOL,1998,DHS,1766,4.36,10.01,28.57,32.69,28.73,10.01,7.33,46.86,9.82,20.57,5.40,0.01,25.12,12.44
BOL,2000,MICS,1930,4.44,6.84,27.75,38.03,27.38,6.84,,,,,,,,
BOL,2001,DYB,1511,4.09,,,,,,,,,,,,,
BOL,2001,IPUMS,1511,4.09,15.20,29.88,29.74,25.18,15.20,5.01,31.42,15.43,25.11,7.84,0.00,,
BOL,2003,DHS,1844,4.23,12.12,28.61,32.43,26.84,12.12,7.03,45.64,10.35,22.84,1.93,0.09,21.62,9.99
BOL,2008,DHS,4492,3.94,12.76,32.67,33.17,21.39,12.76,8.13,43.08,11.67,22.73,1.63,0.00,24.93,12.56
BOL,2012,DYB,5280,3.53,20.34,34.82,27.64,17.20,20.48,5.50,25.37,16.66,,,31.98,,
BOL,2012,IPUMS,5280,3.50,20.86,34.89,27.28,16.97,20.86,5.47,24.86,16.37,26.51,1.05,0.00,25.87,10.77
BRA,1960,IPUMS,1287,5.13,4.85,26.54,29.75,38.87,4.85,8.01,52.91,6.18,18.54,9.50,0.01,26.13,8.55
BRA,1970,IPUMS,1479,5.10,5.21,26.96,29.88,37.95,5.21,8.12,52.29,6.56,18.43,9.38,0.01,,
BRA,1980,IPUMS,1345,4.65,6.13,30.78,32.36,30.73,6.13,9.25,52.57,6.89,18.68,6.48,0.00,,
BRA,1991,IPUMS,1072,4.19,6.67,34.30,37.30,21.74,6.67,9.55,51.12,8.11,19.79,4.76,0.00,27.49,10.43
BRA,1996,DHS,1868,4.09,6.11,34.53,40.48,18.89,6.11,8.73,49.62,8.98,21.76,4.73,0.07,30.44,12.26
BRA,2000,IPUMS,1107,3.76,8.93,39.49,37.15,14.43,8.93,10.62,47.74,10.08,20.14,2.50,0.00,28.62,10.90
BRA,2010,IPUMS,4765,3.31,12.00,47.27,31.91,8.82,12.00,13.90,40.41,10.47,20.86,2.35,0.00,30.88,10.22
BRA,2022,DYB,7294,2.79,18.94,53.42,23.62,4.03,18.94,,,,,,,,
BRB,2012,MICS,4986,2.85,26.34,43.20,23.28,7.19,26.34,10.40,18.26,16.34,23.36,2.23,3.07,38.59,15.39
BRN,2011,DYB,4777,,7.22,19.82,28.98,43.98,7.22,,,,,,,,
BRN,2021,DYB,7194,,10.25,24.54,28.88,36.32,10.25,,,,,,,,
BTN,2005,DYB,1105,,9.19,25.68,33.70,31.43,9.19,,,,,,,,
BTN,2010,MICS,4989,4.59,6.13,25.08,38.95,29.85,6.13,6.85,39.60,4.91,40.47,2.02,0.02,41.18,25.35
BWA,1981,IPUMS,1346,5.61,10.83,22.13,21.71,45.33,10.83,2.30,10.92,6.27,51.03,18.63,0.02,29.62,23.82
