iso3,year,activity,size,measure,value
SWE,2018,C28,S50T249,EMPN,18650
SWE,2018,C28,S50T249,ENTR,164
SWE,2018,C28,S_GE250,EMPN,54167
SWE,2018,C28,S_GE250,ENTR,60
SWE,2018,C28,_T,EMPN,84500
SWE,2018,C28,_T,ENTR,2348
SWE,2018,C29,S10T49,EMPN,2366
SWE,2018,C29,S10T49,ENTR,100
SWE,2018,C29,S1T9,EMPN,924
SWE,2018,C29,S1T9,ENTR,672
SWE,2018,C29,S50T249,EMPN,7541
SWE,2018,C29,S50T249,ENTR,65
SWE,2018,C29,S_GE250,EMPN,81744
SWE,2018,C29,S_GE250,ENTR,33
SWE,2018,C29,_T,EMPN,92575
SWE,2018,C29,_T,ENTR,870
SWE,2018,C30,S10T49,EMPN,1170
SWE,2018,C30,S10T49,ENTR,54
SWE,2018,C30,S1T9,EMPN,812
SWE,2018,C30,S1T9,ENTR,730
SWE,2018,C30,S50T249,EMPN,2074
SWE,2018,C30,S50T249,ENTR,18
SWE,2018,C30,S_GE250,EMPN,17686
SWE,2018,C30,S_GE250,ENTR,7
SWE,2018,C30,_T,EMPN,21743
SWE,2018,C30,_T,ENTR,809
SWE,2018,C31,S10T49,EMPN,3423
SWE,2018,C31,S10T49,ENTR,177
SWE,2018,C31,S1T9,EMPN,1890
SWE,2018,C31,S1T9,ENTR,1918
SWE,2018,C31,S50T249,EMPN,3822
SWE,2018,C31,S50T249,ENTR,35
SWE,2018,C31,S_GE250,EMPN,7148
SWE,2018,C31,S_GE250,ENTR,12
SWE,2018,C31,_T,EMPN,16283
SWE,2018,C31,_T,ENTR,2142
SWE,2018,C32,S10T49,EMPN,2550
SWE,2018,C32,S10T49,ENTR,123
SWE,2018,C32,S1T9,EMPN,2725
SWE,2018,C32,S1T9,ENTR,4042
SWE,2018,C32,S50T249,EMPN,1922
SWE,2018,C32,S50T249,ENTR,18
SWE,2018,C32,S_GE250,EMPN,4066
SWE,2018,C32,S_GE250,ENTR,7
SWE,2018,C32,_T,EMPN,11262
SWE,2018,C32,_T,ENTR,4190
SWE,2018,C33,S10T49,EMPN,5141
SWE,2018,C33,S10T49,ENTR,284
SWE,2018,C33,S1T9,EMPN,6385
SWE,2018,C33,S1T9,ENTR,5746
SWE,2018,C33,S50T249,EMPN,4686
SWE,2018,C33,S50T249,ENTR,49
SWE,2018,C33,S_GE250,EMPN,4393
SWE,2018,C33,S_GE250,ENTR,10
SWE,2018,C33,_T,EMPN,20606
SWE,2018,C33,_T,ENTR,6089
SWE,2018,D,S10T49,EMPN,2163
SWE,2018,D,S10T49,ENTR,86
SWE,2018,D,S1T9,EMPN,1875
SWE,2018,D,S1T9,ENTR,2154
SWE,2018,D,S50T249,EMPN,7442
SWE,2018,D,S50T249,ENTR,73
SWE,2018,D,S_GE250,EMPN,23724
SWE,2018,D,S_GE250,ENTR,24
SWE,2018,D,_T,EMPN,35204
SWE,2018,D,_T,ENTR,2337
SWE,2018,D35,S10T49,EMPN,2163
SWE,2018,D35,S10T49,ENTR,86
SWE,2018,D35,S1T9,EMPN,1875
SWE,2018,D35,S1T9,ENTR,2154
SWE,2018,D35,S50T249,EMPN,7442
SWE,2018,D35,S50T249,ENTR,73
SWE,2018,D35,S_GE250,EMPN,23724
SWE,2018,D35,S_GE250,ENTR,24
SWE,2018,D35,_T,EMPN,35204
SWE,2018,D35,_T,ENTR,2337
SWE,2018,E,S10T49,EMPN,3361
SWE,2018,E,S10T49,ENTR,158
SWE,2018,E,S1T9,EMPN,1515
SWE,2018,E,S1T9,ENTR,1080
SWE,2018,E,S50T249,EMPN,6583
SWE,2018,E,S50T249,ENTR,58
SWE,2018,E,S_GE250,EMPN,10649
SWE,2018,E,S_GE250,ENTR,12
SWE,2018,E,_T,EMPN,22108
SWE,2018,E,_T,ENTR,1308
SWE,2018,E36,S10T49,ENTR,5
SWE,2018,E36,S1T9,EMPN,160
SWE,2018,E36,S1T9,ENTR,256
SWE,2018,E36,S50T249,EMPN,1002
SWE,2018,E36,S50T249,ENTR,7
SWE,2018,E36,S_GE250,EMPN,0
SWE,2018,E36,S_GE250,ENTR,1
SWE,2018,E36,_T,EMPN,1940
SWE,2018,E36,_T,ENTR,269
SWE,2018,E37,S10T49,ENTR,27
SWE,2018,E37,S1T9,EMPN,264
SWE,2018,E37,S1T9,ENTR,181
SWE,2018,E37,S50T249,EMPN,1964
SWE,2018,E37,S50T249,ENTR,16
SWE,2018,E37,S_GE250,EMPN,0
SWE,2018,E37,S_GE250,ENTR,0
SWE,2018,E37,_T,EMPN,2785
SWE,2018,E37,_T,ENTR,224
SWE,2018,E38,S10T49,ENTR,114
SWE,2018,E38,S1T9,EMPN,932
SWE,2018,E38,S1T9,ENTR,546
SWE,2018,E38,S50T249,EMPN,3414
SWE,2018,E38,S50T249,ENTR,32
SWE,2018,E38,S_GE250,EMPN,0
SWE,2018,E38,S_GE250,ENTR,11
SWE,2018,E38,_T,EMPN,16725
SWE,2018,E38,_T,ENTR,703
SWE,2018,E39,S10T49,EMPN,296
SWE,2018,E39,S10T49,ENTR,12
SWE,2018,E39,S1T9,EMPN,159
SWE,2018,E39,S1T9,ENTR,97
SWE,2018,E39,S50T249,EMPN,203
