iso3,sex,age,level,percent
ALB,F,80,6,0.00
ALB,F,80,7,0.00
ALB,F,85,0,31.53
ALB,F,85,1,3.03
ALB,F,85,2,41.17
ALB,F,85,3,14.43
ALB,F,85,4,7.85
ALB,F,85,5,0.00
ALB,F,85,6,0.00
ALB,F,85,7,0.00
ALB,F,90,0,48.23
ALB,F,90,1,3.31
ALB,F,90,2,33.83
ALB,F,90,3,8.66
ALB,F,90,4,4.75
ALB,F,90,5,0.00
ALB,F,90,6,0.00
ALB,F,90,7,0.00
ALB,F,95,0,67.45
ALB,F,95,1,3.37
ALB,F,95,2,23.60
ALB,F,95,3,3.40
ALB,F,95,4,1.80
ALB,F,95,5,0.00
ALB,F,95,6,0.00
ALB,F,95,7,0.00
ALB,F,100,0,82.28
