iso3,row,product,value
ARG,CPA_C17,CPA_C13-15,19.952
ARG,CPA_C17,CPA_C16,22.158
ARG,CPA_C17,CPA_C17,1048.863
ARG,CPA_C17,CPA_C18,312.697
ARG,CPA_C17,CPA_C19,4.353
ARG,CPA_C17,CPA_C20,99.186
ARG,CPA_C17,CPA_C21,39.505
ARG,CPA_C17,CPA_C22,15.536
ARG,CPA_C17,CPA_C23,144.403
ARG,CPA_C17,CPA_C24,9.312
ARG,CPA_C17,CPA_C25,8.371
ARG,CPA_C17,CPA_C26,32.399
ARG,CPA_C17,CPA_C27,28.864
ARG,CPA_C17,CPA_C28,13.630
ARG,CPA_C17,CPA_C29,4.454
ARG,CPA_C17,CPA_C30,3.299
ARG,CPA_C17,CPA_C31_32,25.749
ARG,CPA_C17,CPA_C33,6.633
ARG,CPA_C17,CPA_D35,0.790
ARG,CPA_C17,CPA_E36,0.419
ARG,CPA_C17,CPA_E37-39,22.710
ARG,CPA_C17,CPA_F,18.596
ARG,CPA_C17,CPA_G45,1.992
ARG,CPA_C17,CPA_G46,163.007
ARG,CPA_C17,CPA_G47,218.796
ARG,CPA_C17,CPA_H49,10.125
ARG,CPA_C17,CPA_H50,0.314
ARG,CPA_C17,CPA_H51,20.081
ARG,CPA_C17,CPA_H52,0.000
ARG,CPA_C17,CPA_H53,30.419
ARG,CPA_C17,CPA_I,75.152
ARG,CPA_C17,CPA_J58,317.380
ARG,CPA_C17,CPA_J59_60,1.489
ARG,CPA_C17,CPA_J61,4.160
ARG,CPA_C17,CPA_J62_63,15.007
ARG,CPA_C17,CPA_K64,82.202
ARG,CPA_C17,CPA_K65,17.987
ARG,CPA_C17,CPA_K66,12.394
ARG,CPA_C17,CPA_L,31.435
ARG,CPA_C17,CPA_M69_70,39.548
ARG,CPA_C17,CPA_M71,50.064
ARG,CPA_C17,CPA_M72,6.706
ARG,CPA_C17,CPA_M73,57.648
ARG,CPA_C17,CPA_M74_75,6.546
ARG,CPA_C17,CPA_N77,11.709
ARG,CPA_C17,CPA_N78,3.012
ARG,CPA_C17,CPA_N79,0.000
ARG,CPA_C17,CPA_N80-82,28.667
ARG,CPA_C17,CPA_O84,52.063
ARG,CPA_C17,CPA_P85,71.802
ARG,CPA_C17,CPA_Q86,35.592
ARG,CPA_C17,CPA_Q87_88,1.542
ARG,CPA_C17,CPA_R90-92,0.360
ARG,CPA_C17,CPA_R93,2.414
ARG,CPA_C17,CPA_S94,2.458
ARG,CPA_C17,CPA_S95,6.040
ARG,CPA_C17,CPA_S96,3.513
ARG,CPA_C17,CPA_T,0.000
ARG,CPA_C17,CPA_U,0.000
ARG,CPA_C18,CPA_A01,0.993
ARG,CPA_C18,CPA_A02,0.065
ARG,CPA_C18,CPA_A03,0.548
ARG,CPA_C18,CPA_B,12.079
ARG,CPA_C18,CPA_C10-12,34.332
ARG,CPA_C18,CPA_C13-15,4.827
ARG,CPA_C18,CPA_C16,1.244
ARG,CPA_C18,CPA_C17,5.048
ARG,CPA_C18,CPA_C18,6.132
ARG,CPA_C18,CPA_C19,3.649
ARG,CPA_C18,CPA_C20,41.193
ARG,CPA_C18,CPA_C21,17.315
ARG,CPA_C18,CPA_C22,6.705
ARG,CPA_C18,CPA_C23,5.019
ARG,CPA_C18,CPA_C24,2.989
ARG,CPA_C18,CPA_C25,3.026
ARG,CPA_C18,CPA_C26,34.748
ARG,CPA_C18,CPA_C27,10.538
ARG,CPA_C18,CPA_C28,6.378
ARG,CPA_C18,CPA_C29,3.404
ARG,CPA_C18,CPA_C30,0.638
ARG,CPA_C18,CPA_C31_32,1.524
ARG,CPA_C18,CPA_C33,3.925
ARG,CPA_C18,CPA_D35,1.891
ARG,CPA_C18,CPA_E36,0.545
ARG,CPA_C18,CPA_E37-39,4.030
ARG,CPA_C18,CPA_F,16.712
ARG,CPA_C18,CPA_G45,9.131
ARG,CPA_C18,CPA_G46,196.825
ARG,CPA_C18,CPA_G47,178.069
ARG,CPA_C18,CPA_H49,0.132
ARG,CPA_C18,CPA_H50,0.000
ARG,CPA_C18,CPA_H51,0.000
ARG,CPA_C18,CPA_H52,0.000
ARG,CPA_C18,CPA_H53,1.327
ARG,CPA_C18,CPA_I,7.264
ARG,CPA_C18,CPA_J58,28.191
ARG,CPA_C18,CPA_J59_60,4.980
ARG,CPA_C18,CPA_J61,18.364
ARG,CPA_C18,CPA_J62_63,42.591
ARG,CPA_C18,CPA_K64,363.264
