iso3,year,activity,occupation,value,source
ARG,2020,I,2,30.14,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,I,3,33.62,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,I,4,29.73,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,I,5,36.42,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,I,7,33.49,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,I,8,37.23,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,I,9,29.6,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,I,TOTAL,35.38,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,I,X,34.23,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,J,1,43,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,J,2,36.24,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,J,3,37.96,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,J,4,36.43,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,J,5,39,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,J,7,39.38,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,J,8,40.63,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,J,9,27.05,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,J,TOTAL,37.63,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,J,X,38.41,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,K,1,39.8,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,K,2,36.88,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,K,3,37.35,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,K,4,37.63,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,K,5,33.44,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,K,7,34.86,"LFS - Encuesta Permanente de Hogares, Urbano"
