iso3,year,sex,age,disabled,total,source
AUT,2021,M,55-64,87.137,689.016,HIES - EU Statistics on Income and Living Conditions
AUT,2021,M,GE65,116.257,679.321,HIES - EU Statistics on Income and Living Conditions
AUT,2022,F,15-24,6.48,396.138,HIES - EU Statistics on Income and Living Conditions
AUT,2022,F,25-54,78.066,1820.234,HIES - EU Statistics on Income and Living Conditions
AUT,2022,F,55-64,64.407,718.434,HIES - EU Statistics on Income and Living Conditions
AUT,2022,F,GE65,154.505,882.32,HIES - EU Statistics on Income and Living Conditions
AUT,2022,M,15-24,6.027,417.542,HIES - EU Statistics on Income and Living Conditions
AUT,2022,M,25-54,71.174,1842.368,HIES - EU Statistics on Income and Living Conditions
AUT,2022,M,55-64,99.109,700.426,HIES - EU Statistics on Income and Living Conditions
AUT,2022,M,GE65,121.032,696.051,HIES - EU Statistics on Income and Living Conditions
AUT,2023,F,15-24,8.162,395.445,HIES - EU Statistics on Income and Living Conditions
AUT,2023,F,25-54,84.704,1829.119,HIES - EU Statistics on Income and Living Conditions
AUT,2023,F,55-64,73.421,736.327,HIES - EU Statistics on Income and Living Conditions
AUT,2023,F,GE65,178.799,897.455,HIES - EU Statistics on Income and Living Conditions
AUT,2023,M,15-24,18.391,429.836,HIES - EU Statistics on Income and Living Conditions
AUT,2023,M,25-54,85.809,1850.67,HIES - EU Statistics on Income and Living Conditions
AUT,2023,M,55-64,105.344,716.711,HIES - EU Statistics on Income and Living Conditions
AUT,2023,M,GE65,111.914,711.021,HIES - EU Statistics on Income and Living Conditions
AUT,2024,F,15-24,12.532,383.51,HIES - EU Statistics on Income and Living Conditions
AUT,2024,F,25-54,82.366,1823.29,HIES - EU Statistics on Income and Living Conditions
AUT,2024,F,55-64,86.143,746.352,HIES - EU Statistics on Income and Living Conditions
AUT,2024,F,GE65,181.706,916.756,HIES - EU Statistics on Income and Living Conditions
AUT,2024,M,15-24,13.815,410.207,HIES - EU Statistics on Income and Living Conditions
AUT,2024,M,25-54,62.256,1844.618,HIES - EU Statistics on Income and Living Conditions
AUT,2024,M,55-64,97.651,727.531,HIES - EU Statistics on Income and Living Conditions
AUT,2024,M,GE65,109.308,729.466,HIES - EU Statistics on Income and Living Conditions
AUT,2025,F,15-24,17.132,403.438,HIES - EU Statistics on Income and Living Conditions
AUT,2025,F,25-54,83.642,1810.511,HIES - EU Statistics on Income and Living Conditions
AUT,2025,F,55-64,62.507,692.463,HIES - EU Statistics on Income and Living Conditions
AUT,2025,F,GE65,177.109,995.728,HIES - EU Statistics on Income and Living Conditions
AUT,2025,M,15-24,7.679,404.245,HIES - EU Statistics on Income and Living Conditions
AUT,2025,M,25-54,71.947,1831.295,HIES - EU Statistics on Income and Living Conditions
AUT,2025,M,55-64,78.777,677.673,HIES - EU Statistics on Income and Living Conditions
AUT,2025,M,GE65,123.238,805.412,HIES - EU Statistics on Income and Living Conditions
BEL,2010,F,15-24,8.238,589.144,HIES - EU Statistics on Income and Living Conditions
BEL,2010,F,25-54,124.414,2240.548,HIES - EU Statistics on Income and Living Conditions
BEL,2010,F,55-64,62.719,661.325,HIES - EU Statistics on Income and Living Conditions
BEL,2010,F,GE65,204.7,984.315,HIES - EU Statistics on Income and Living Conditions
BEL,2010,M,15-24,12.657,600.865,HIES - EU Statistics on Income and Living Conditions
BEL,2010,M,25-54,103.732,2265.637,HIES - EU Statistics on Income and Living Conditions
BEL,2010,M,55-64,53.942,646.933,HIES - EU Statistics on Income and Living Conditions
BEL,2010,M,GE65,103.17,749.92,HIES - EU Statistics on Income and Living Conditions
BEL,2011,F,15-24,4.386,593.59,HIES - EU Statistics on Income and Living Conditions
BEL,2011,F,25-54,115.46,2247.458,HIES - EU Statistics on Income and Living Conditions
BEL,2011,F,55-64,64.061,676.479,HIES - EU Statistics on Income and Living Conditions
BEL,2011,F,GE65,189.735,994.534,HIES - EU Statistics on Income and Living Conditions
BEL,2011,M,15-24,7.53,605.735,HIES - EU Statistics on Income and Living Conditions
BEL,2011,M,25-54,143.576,2274.177,HIES - EU Statistics on Income and Living Conditions
