iso3,year,function,sex,share,source
AZE,2019,disab,F,1.0000,ILO - Social Security Inquiry Database
AZE,2019,disab,M,1.0000,ILO - Social Security Inquiry Database
AZE,2019,disab,T,1.0000,ILO - Social Security Inquiry Database
AZE,2020,disab,F,1.0000,ILO - Social Security Inquiry Database
AZE,2020,disab,M,1.0000,ILO - Social Security Inquiry Database
AZE,2020,disab,T,1.0000,ILO - Social Security Inquiry Database
AZE,2023,disab,F,1.0000,ILO - Social Security Inquiry Database
AZE,2023,disab,M,1.0000,ILO - Social Security Inquiry Database
AZE,2023,disab,T,1.0000,ILO - Social Security Inquiry Database
AZE,2023,pension,F,0.9420,ILO - Social Security Inquiry Database
AZE,2023,pension,M,1.0000,ILO - Social Security Inquiry Database
AZE,2023,pension,T,0.9700,ILO - Social Security Inquiry Database
BDI,2021,disab,F,0.0430,ILO - Social Security Inquiry Database
BDI,2021,disab,M,0.0670,ILO - Social Security Inquiry Database
BDI,2021,disab,T,0.0570,ILO - Social Security Inquiry Database
BDI,2021,pension,F,0.0890,ILO - Social Security Inquiry Database
BDI,2021,pension,M,0.1870,ILO - Social Security Inquiry Database
BDI,2021,pension,T,0.1330,ILO - Social Security Inquiry Database
BEL,2013,disab,F,1.0000,ILO - Social Security Inquiry Database
BEL,2013,disab,M,1.0000,ILO - Social Security Inquiry Database
BEL,2013,disab,T,1.0000,ILO - Social Security Inquiry Database
BEL,2013,pension,F,1.0000,ILO - Social Security Inquiry Database
BEL,2013,pension,M,1.0000,ILO - Social Security Inquiry Database
BEL,2013,pension,T,1.0000,ILO - Social Security Inquiry Database
BEL,2014,disab,F,1.0000,ILO - Social Security Inquiry Database
BEL,2014,disab,M,1.0000,ILO - Social Security Inquiry Database
BEL,2014,disab,T,1.0000,ILO - Social Security Inquiry Database
BEL,2014,pension,F,1.0000,ILO - Social Security Inquiry Database
BEL,2014,pension,M,1.0000,ILO - Social Security Inquiry Database
BEL,2014,pension,T,1.0000,ILO - Social Security Inquiry Database
BEL,2015,disab,T,1.0000,ILO - Social Security Inquiry Database
BEL,2016,disab,F,1.0000,ILO - Social Security Inquiry Database
BEL,2016,disab,M,1.0000,ILO - Social Security Inquiry Database
BEL,2016,disab,T,1.0000,ILO - Social Security Inquiry Database
BEL,2017,disab,T,1.0000,ILO - Social Security Inquiry Database
BEL,2018,disab,F,1.0000,ILO - Social Security Inquiry Database
BEL,2018,disab,M,1.0000,ILO - Social Security Inquiry Database
BEL,2018,disab,T,1.0000,ILO - Social Security Inquiry Database
BEL,2018,pension,F,1.0000,ILO - Social Security Inquiry Database
BEL,2018,pension,M,1.0000,ILO - Social Security Inquiry Database
BEL,2018,pension,T,1.0000,ILO - Social Security Inquiry Database
BEL,2019,disab,F,1.0000,ILO - Social Security Inquiry Database
BEL,2019,disab,M,1.0000,ILO - Social Security Inquiry Database
BEL,2019,disab,T,1.0000,ILO - Social Security Inquiry Database
BEL,2019,pension,F,1.0000,ILO - Social Security Inquiry Database
BEL,2019,pension,M,1.0000,ILO - Social Security Inquiry Database
BEL,2019,pension,T,1.0000,ILO - Social Security Inquiry Database
BEL,2022,disab,F,1.0000,ILO - Social Security Inquiry Database
BEL,2022,disab,M,1.0000,ILO - Social Security Inquiry Database
BEL,2022,disab,T,1.0000,ILO - Social Security Inquiry Database
BEL,2022,pension,F,1.0000,ILO - Social Security Inquiry Database
BEL,2022,pension,M,1.0000,ILO - Social Security Inquiry Database
BEL,2022,pension,T,1.0000,ILO - Social Security Inquiry Database
BEN,2017,pension,T,0.1100,ILO - Social Security Inquiry Database
BEN,2019,pension,T,0.1100,ILO - Social Security Inquiry Database
BEN,2020,disab,T,0.0010,ILO - Social Security Inquiry Database
BEN,2020,pension,T,0.0910,ILO - Social Security Inquiry Database
BFA,2015,disab,T,0.0010,ILO - Social Security Inquiry Database
BFA,2015,pension,F,0.0070,ILO - Social Security Inquiry Database
BFA,2015,pension,M,0.0540,ILO - Social Security Inquiry Database
BFA,2015,pension,T,0.0270,ILO - Social Security Inquiry Database
BFA,2017,disab,T,0.0010,ILO - Social Security Inquiry Database
BFA,2019,disab,T,0.0030,ILO - Social Security Inquiry Database
BFA,2019,pension,T,0.0600,ILO - Social Security Inquiry Database
BFA,2021,disab,T,0.0030,ILO - Social Security Inquiry Database
BFA,2021,pension,F,0.0390,ILO - Social Security Inquiry Database
BFA,2021,pension,M,0.1030,ILO - Social Security Inquiry Database
BFA,2021,pension,T,0.0670,ILO - Social Security Inquiry Database
BGD,2015,disab,T,0.1850,ILO - Social Security Inquiry Database
BGD,2015,pension,T,0.3340,ILO - Social Security Inquiry Database
BGD,2019,disab,T,0.3750,ILO - Social Security Inquiry Database
BGD,2019,pension,T,0.3900,ILO - Social Security Inquiry Database
BGD,2021,disab,T,0.4350,ILO - Social Security Inquiry Database
